"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",9
"9",10
"10",11
"11",12
"12",15
"13",16
"14",17
"15",18
"16",19
"17",20
"18",22
"19",23
"20",24
"21",25
"22",27
"23",30
"24",31
"25",32
"26",33
"27",34
"28",36
"29",37
"30",38
"31",39
"32",40
"33",42
"34",43
"35",44
"36",45
"37",47
"38",48
"39",49
"40",50
"41",51
"42",52
"43",53
"44",55
"45",57
"46",58
"47",59
"48",60
"49",61
"50",62
"51",63
"52",64
"53",66
"54",67
"55",68
"56",69
"57",70
"58",71
"59",72
"60",75
"61",76
"62",77
"63",78
"64",79
"65",80
"66",81
"67",83
"68",84
"69",87
"70",88
"71",89
"72",90
"73",91
"74",94
"75",95
"76",97
"77",98
"78",99
"79",100
"80",101
"81",102
"82",103
"83",104
"84",105
"85",106
"86",107
"87",108
"88",109
"89",110
"90",111
"91",112
"92",113
"93",114
"94",115
"95",117
