"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",11
"10",12
"11",13
"12",14
"13",15
"14",16
"15",18
"16",19
"17",20
"18",21
"19",22
"20",24
"21",26
"22",27
"23",29
"24",30
"25",31
"26",32
"27",33
"28",34
"29",37
"30",38
"31",39
"32",40
"33",41
"34",42
"35",43
"36",44
"37",45
"38",47
"39",48
"40",49
"41",50
"42",51
"43",53
"44",54
"45",56
"46",57
"47",59
"48",60
"49",61
"50",62
"51",63
"52",64
"53",65
"54",66
"55",67
"56",70
"57",71
"58",73
"59",74
"60",75
"61",76
"62",78
"63",79
"64",80
"65",81
"66",82
"67",83
"68",84
"69",85
"70",86
"71",89
"72",90
"73",92
"74",93
"75",94
"76",95
"77",96
"78",97
"79",100
"80",101
"81",102
"82",104
"83",105
"84",106
"85",108
"86",110
"87",111
"88",112
"89",113
"90",114
"91",115
"92",116
"93",117
"94",118
"95",119
"96",120
"97",121
"98",122
"99",123
"100",124
"101",126
"102",127
"103",128
"104",130
"105",131
"106",133
"107",134
"108",135
"109",136
"110",137
"111",140
"112",141
"113",142
"114",143
"115",144
"116",145
"117",146
"118",147
"119",148
"120",149
"121",150
"122",152
"123",153
"124",154
"125",155
"126",157
"127",158
"128",159
"129",161
"130",162
"131",163
"132",164
"133",165
"134",166
"135",167
"136",168
"137",169
"138",171
"139",172
"140",173
"141",174
"142",175
"143",176
"144",178
"145",179
"146",180
"147",181
"148",182
"149",183
"150",184
"151",185
"152",186
"153",188
"154",189
"155",190
"156",191
"157",193
"158",194
"159",196
"160",197
"161",198
"162",199
"163",200
"164",201
"165",204
"166",205
"167",206
"168",207
"169",209
"170",210
"171",211
"172",212
"173",214
"174",217
"175",218
"176",219
"177",220
"178",221
"179",223
"180",224
"181",225
"182",226
"183",228
"184",229
"185",230
"186",231
"187",232
"188",233
"189",235
"190",236
"191",238
"192",240
"193",241
"194",242
"195",243
"196",244
"197",245
"198",246
"199",248
"200",249
"201",251
"202",252
"203",253
"204",254
"205",255
"206",256
"207",257
"208",258
"209",260
"210",261
"211",262
"212",263
"213",264
"214",266
"215",267
"216",268
"217",269
"218",271
"219",272
"220",273
"221",274
"222",276
"223",278
"224",279
"225",280
