"","Resample1"
"1",1
"2",5
"3",6
"4",7
"5",8
"6",9
"7",10
"8",11
"9",12
"10",13
"11",14
"12",15
"13",16
"14",18
"15",20
"16",21
"17",22
"18",23
"19",24
"20",25
"21",26
"22",28
"23",29
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",36
"31",37
"32",38
"33",39
"34",40
"35",41
"36",42
"37",43
"38",44
"39",45
"40",46
"41",48
"42",50
"43",51
"44",52
"45",53
"46",55
"47",56
"48",58
"49",59
"50",60
"51",61
"52",62
"53",63
"54",64
"55",65
"56",66
"57",67
"58",68
"59",69
"60",72
"61",73
"62",76
"63",77
"64",78
"65",79
"66",81
"67",83
"68",84
"69",85
"70",86
"71",87
"72",88
"73",89
"74",90
"75",91
"76",92
"77",93
"78",94
"79",96
"80",97
"81",98
"82",99
"83",100
"84",101
"85",102
"86",103
"87",104
"88",105
"89",107
"90",108
"91",109
"92",111
"93",112
"94",113
"95",114
"96",115
"97",116
"98",117
"99",118
"100",119
"101",120
"102",121
"103",123
"104",126
"105",127
"106",128
"107",129
"108",131
"109",134
"110",136
"111",137
"112",139
"113",140
"114",141
"115",142
"116",143
"117",144
"118",145
"119",146
"120",147
"121",150
"122",151
"123",152
"124",153
"125",154
"126",156
"127",157
"128",158
"129",159
"130",160
"131",161
"132",162
"133",163
"134",164
"135",165
"136",166
"137",168
"138",169
"139",170
"140",171
"141",173
"142",174
"143",175
"144",176
"145",178
"146",179
"147",183
"148",185
"149",187
"150",188
"151",189
"152",190
"153",191
"154",192
"155",193
"156",194
"157",195
"158",197
"159",198
"160",199
