"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",7
"7",9
"8",10
"9",13
"10",14
"11",15
"12",16
"13",17
"14",18
"15",19
"16",20
"17",21
"18",22
"19",24
"20",26
"21",28
"22",29
"23",30
"24",31
"25",32
"26",33
"27",34
"28",35
"29",37
"30",38
"31",39
"32",40
"33",41
"34",42
"35",43
"36",44
"37",45
"38",46
"39",47
"40",48
"41",50
"42",51
"43",52
"44",53
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",62
"52",63
"53",64
"54",65
"55",66
"56",67
"57",68
"58",69
"59",70
"60",71
"61",72
"62",74
"63",75
"64",76
"65",77
"66",78
"67",79
"68",80
"69",81
"70",82
"71",83
"72",84
"73",85
"74",87
"75",88
"76",89
"77",90
"78",91
"79",92
"80",93
"81",94
"82",95
"83",96
"84",97
"85",98
"86",99
"87",100
"88",101
"89",103
"90",104
"91",105
"92",106
"93",107
"94",108
"95",109
"96",110
"97",111
"98",112
"99",115
"100",116
"101",118
"102",119
"103",121
"104",122
"105",123
"106",124
"107",125
"108",126
"109",127
"110",128
"111",129
"112",130
"113",131
"114",133
"115",134
"116",135
"117",137
"118",138
"119",139
"120",142
"121",143
"122",145
"123",146
"124",147
"125",148
"126",150
"127",151
"128",152
"129",153
"130",154
"131",155
"132",157
"133",158
"134",160
"135",161
"136",162
"137",163
"138",165
"139",166
"140",167
"141",169
"142",170
"143",171
"144",173
"145",174
"146",175
"147",176
"148",177
"149",178
"150",179
"151",181
"152",183
"153",185
"154",186
"155",187
"156",189
"157",191
"158",192
"159",193
"160",194
"161",195
"162",196
"163",197
"164",199
"165",201
"166",202
"167",203
"168",204
"169",205
"170",206
"171",210
"172",211
"173",213
"174",215
"175",216
"176",217
"177",219
"178",220
"179",221
"180",222
"181",224
"182",226
