"","Resample1"
"1",2
"2",3
"3",4
"4",5
"5",7
"6",8
"7",9
"8",10
"9",11
"10",12
"11",13
"12",14
"13",15
"14",16
"15",17
"16",18
"17",19
"18",20
"19",21
"20",22
"21",23
"22",25
"23",26
"24",27
"25",28
"26",30
"27",31
"28",32
"29",33
"30",34
"31",35
"32",37
"33",40
"34",41
"35",42
"36",43
"37",44
"38",46
"39",47
"40",50
"41",52
"42",53
"43",54
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",62
"52",64
"53",65
"54",66
"55",67
"56",68
"57",69
"58",71
"59",72
"60",73
"61",74
"62",75
"63",77
"64",78
"65",79
"66",81
"67",82
"68",83
"69",84
"70",85
"71",87
"72",89
"73",91
"74",92
"75",94
"76",95
"77",96
"78",97
"79",98
"80",99
"81",101
"82",102
"83",103
"84",104
"85",105
"86",106
"87",108
"88",109
"89",110
"90",112
"91",114
"92",115
"93",116
"94",117
"95",119
"96",120
"97",122
"98",123
"99",124
"100",125
"101",126
"102",127
"103",128
"104",130
"105",131
"106",133
"107",134
"108",135
"109",136
"110",137
"111",140
"112",141
"113",142
"114",143
"115",144
"116",145
"117",146
"118",147
"119",149
"120",150
"121",151
"122",152
"123",153
"124",154
"125",155
"126",156
"127",158
"128",159
"129",162
"130",163
"131",165
"132",166
"133",167
"134",168
"135",169
"136",170
"137",171
"138",172
"139",175
"140",176
"141",177
"142",178
"143",179
"144",180
"145",182
"146",184
"147",185
"148",186
"149",187
"150",188
"151",189
"152",190
"153",191
"154",194
"155",195
"156",196
"157",197
"158",198
"159",200
"160",201
"161",202
"162",203
"163",204
"164",205
"165",206
"166",207
"167",208
"168",210
"169",211
"170",212
"171",213
"172",215
"173",216
"174",218
"175",219
"176",220
"177",221
"178",222
"179",223
"180",224
"181",225
"182",226
