"","x"
"1","totalIgG_Hspx"
"2","totalIgG_Ag85"
"3","totalIgG_LAM"
"4","IgG1_ESAT6"
"5","IgG1_Hspx"
"6","IgG1_CFP10"
"7","IgG1_Ag85"
"8","IgG1_Tbad"
"9","IgG2_ESAT6"
"10","IgG2_CFP10"
"11","IgG2_Tbad"
"12","IgG2_LAM"
"13","IgG3_CFP10"
"14","IgG3_Tbad"
"15","IgG3_LAM"
"16","IgG4_ESAT6"
"17","IgG4_LAM"
"18","IgA1_PPD"
"19","IgA2_PPD"
"20","IgA2_Tbad"
"21","IgA2_LAM"
"22","IgM_PPD"
"23","IgM_ESAT6"
"24","IgM_Tbad"
"25","IgM_LAM"
"26","FcgR2A_PPD"
"27","FcgR2A_Hspx"
"28","FcgR2A_Ag85.AB"
"29","FcgR2B_TbAd"
"30","FcgR2B_Hspx"
"31","FcgR3A_ESAT6.CFP10"
"32","FcgR3A_TbAd"
"33","FcgR3B_PPD"
"34","FcgR3B_Ag85.AB"
"35","SNA_Tbad"
"36","SNA_LAM"
